item_name,choice_description,choice_description
6 Pack Soft Drink,DietCoke,24
6 Pack Soft Drink,Coke,21
6 Pack Soft Drink,Sprite,5
6 Pack Soft Drink,Lemonade,2
6 Pack Soft Drink,Nestea,2
Barbacoa Bowl,"TomatilloRedChiliSalsa,Rice,Cheese,Lettuce",5
Barbacoa Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,Guacamole,Lettuce",2
Barbacoa Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,Cheese,SourCream",2
Barbacoa Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,Lettuce",2
Barbacoa Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",2
Barbacoa Bowl,"FreshTomatoSalsaMild,BlackBeans,Rice,Cheese,SourCream,Guacamole,Lettuce",2
Barbacoa Bowl,"FreshTomatoSalsaMild,Rice,Cheese,SourCream,Lettuce",2
Barbacoa Bowl,RoastedChiliCornSalsa,2
Barbacoa Bowl,"RoastedChiliCornSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",2
Barbacoa Bowl,"RoastedChiliCornSalsa,Rice,BlackBeans,Cheese,SourCream,Lettuce",2
Barbacoa Bowl,"TomatilloGreenChiliSalsaMedium,BlackBeans,Rice,Cheese,Guacamole",2
Barbacoa Bowl,TomatilloRedChiliSalsa,2
Barbacoa Bowl,"TomatilloRedChiliSalsa,FajitaVegetables,Rice,BlackBeans,PintoBeans,Cheese,SourCream,Guacamole,Lettuce",2
Barbacoa Bowl,"TomatilloRedChiliSalsaHot,BlackBeans,Rice,Cheese,SourCream,Lettuce",2
Barbacoa Bowl,"FreshTomatoMild,Lettuce,BlackBeans,Rice",1
Barbacoa Bowl,"FreshTomatoMild,Lettuce,Rice,Cheese",1
Barbacoa Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese",1
